policy_id,category,title,policy_text,source_reference,related_form
HR-LEAVE-001,Annual Leave,Annual Leave Entitlement,"All full-time employees are eligible for 24 annual leave days per calendar year. Leave is accrued monthly at a rate of 2 days per month and must be approved by the employee's direct manager at least 3 working days in advance.",Employee Handbook Section 4.1,Annual Leave Request Form
HR-LEAVE-002,Annual Leave,Carry Forward of Unused Leave,"Employees may carry forward a maximum of 5 unused annual leave days into the next calendar year. Any leave beyond this limit will be forfeited unless prior written approval is obtained from HR Admin.",Employee Handbook Section 4.2,Leave Carry Forward Request Form
HR-SICK-001,Sick Leave,Sick Leave Entitlement,"Employees are entitled to 12 paid sick leave days per calendar year. A medical certificate is required for sick leave exceeding 2 consecutive days.",Employee Handbook Section 4.3,Sick Leave Application Form
HR-SICK-002,Sick Leave,Extended Medical Leave,"Employees requiring medical leave beyond 12 days must apply for Extended Medical Leave, which is unpaid unless covered by accumulated leave balances or company insurance.",Employee Handbook Section 4.4,Extended Medical Leave Form
HR-LEAVE-003,Maternity Leave,Maternity Leave Policy,"Female employees are entitled to 26 weeks of paid maternity leave, starting up to 8 weeks before the expected delivery date. A minimum of 6 months of continuous service is required.",Employee Handbook Section 4.5,Maternity Leave Application Form
HR-LEAVE-004,Paternity Leave,Paternity Leave Policy,"Male employees are entitled to 10 working days of paid paternity leave, to be taken within 3 months of the child's birth.",Employee Handbook Section 4.6,Paternity Leave Application Form
HR-WFH-001,Work From Home,Work From Home Eligibility,"Employees may work from home up to 2 days per week, subject to manager approval. Roles requiring physical presence (e.g., front desk, lab staff) are excluded.",Employee Handbook Section 5.1,Work From Home Request Form
HR-WFH-002,Work From Home,Remote Work Equipment Policy,"Employees approved for regular work from home may request a laptop and monitor from the IT department. Equipment remains company property and must be returned upon resignation or termination.",Employee Handbook Section 5.2,IT Equipment Request Form
HR-ATT-001,Attendance,Standard Working Hours,"Standard working hours are 9:30 AM to 6:30 PM, Monday to Friday, with a 1-hour lunch break. Employees are expected to log attendance via the company portal daily.",Employee Handbook Section 3.1,No form required
HR-ATT-002,Attendance,Late Arrival Policy,"Employees arriving more than 15 minutes late on 3 or more occasions in a month will receive a formal attendance notice from their manager.",Employee Handbook Section 3.2,No form required
HR-OT-001,Overtime,Overtime Eligibility and Pay,"Non-managerial employees who work beyond standard hours with prior manager approval are eligible for overtime pay at 1.5x the regular hourly rate.",Employee Handbook Section 6.1,Overtime Approval Form
HR-PAY-001,Payroll,Payroll Cycle,"Salaries are processed on a monthly basis and credited to employee bank accounts by the last working day of each month.",Employee Handbook Section 7.1,No form required
HR-PAY-002,Salary Slips,Accessing Salary Slips,"Salary slips are available for download from the employee self-service portal under 'Payroll > Salary Slips' by the 2nd working day of each month.",Employee Handbook Section 7.2,No form required
HR-PROB-001,Probation,Probation Period Policy,"All new employees undergo a probation period of 6 months from their date of joining, during which either party may terminate employment with 2 weeks' notice.",Employee Handbook Section 2.1,No form required
HR-NOTICE-001,Notice Period,Resignation Notice Period,"Confirmed employees must serve a notice period of 60 days upon resignation. Employees on probation must serve 14 days' notice.",Employee Handbook Section 2.3,Resignation Letter Template
HR-BEN-001,Benefits,Health Insurance Coverage,"All full-time employees are covered under group health insurance from their date of joining, covering the employee, spouse, and up to 2 dependent children.",Employee Handbook Section 8.1,Health Insurance Enrollment Form
HR-BEN-002,Benefits,Retirement Savings Plan,"Employees are automatically enrolled in the company retirement savings plan after 1 year of continuous service, with the company matching contributions up to 5% of base salary.",Employee Handbook Section 8.2,Retirement Plan Enrollment Form
HR-REIMB-001,Reimbursements,Travel Reimbursement Policy,"Employees traveling for official work purposes may claim reimbursement for travel, accommodation, and meals with valid receipts, submitted within 30 days of travel.",Employee Handbook Section 9.1,Travel Reimbursement Form
HR-REIMB-002,Reimbursements,Internet and Phone Reimbursement,"Employees working from home regularly may claim up to a fixed monthly amount for internet and phone expenses, submitted quarterly with valid bills.",Employee Handbook Section 9.2,Utility Reimbursement Form
HR-PERF-001,Performance Reviews,Performance Review Cycle,"Formal performance reviews are conducted twice a year, in April and October. Reviews assess goal achievement, competencies, and are used for compensation decisions.",Employee Handbook Section 10.1,No form required
HR-CONTACT-001,HR Contact,How to Contact HR,"For any queries not covered by this handbook, employees may contact the HR helpdesk via email at hr-support@company.com or visit the HR office between 10 AM and 5 PM on working days.",Employee Handbook Section 1.1,No form required
